2024-06-05 21:56:17,258 INFO    StreamThr :3628112 [internal.py:wandb_internal():86] W&B internal server running at pid: 3628112, started at: 2024-06-05 21:56:17.257720
2024-06-05 21:56:17,259 DEBUG   HandlerThread:3628112 [handler.py:handle_request():146] handle_request: status
2024-06-05 21:56:17,261 INFO    WriterThread:3628112 [datastore.py:open_for_write():87] open: /home/mingu/GAN/wandb/run-20240605_215617-vr96ay8v/run-vr96ay8v.wandb
2024-06-05 21:56:17,262 DEBUG   SenderThread:3628112 [sender.py:send():379] send: header
2024-06-05 21:56:17,265 DEBUG   SenderThread:3628112 [sender.py:send():379] send: run
2024-06-05 21:56:17,766 INFO    SenderThread:3628112 [dir_watcher.py:__init__():211] watching files in: /home/mingu/GAN/wandb/run-20240605_215617-vr96ay8v/files
2024-06-05 21:56:17,766 INFO    SenderThread:3628112 [sender.py:_start_run_threads():1124] run started: vr96ay8v with start time 1717592177.257705
2024-06-05 21:56:17,777 DEBUG   HandlerThread:3628112 [handler.py:handle_request():146] handle_request: check_version
2024-06-05 21:56:17,777 DEBUG   SenderThread:3628112 [sender.py:send_request():406] send_request: check_version
2024-06-05 21:56:17,833 DEBUG   HandlerThread:3628112 [handler.py:handle_request():146] handle_request: run_start
2024-06-05 21:56:17,865 DEBUG   HandlerThread:3628112 [system_info.py:__init__():26] System info init
2024-06-05 21:56:17,865 DEBUG   HandlerThread:3628112 [system_info.py:__init__():41] System info init done
2024-06-05 21:56:17,865 INFO    HandlerThread:3628112 [system_monitor.py:start():194] Starting system monitor
2024-06-05 21:56:17,865 INFO    SystemMonitor:3628112 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-06-05 21:56:17,865 INFO    HandlerThread:3628112 [system_monitor.py:probe():214] Collecting system info
2024-06-05 21:56:17,866 INFO    SystemMonitor:3628112 [interfaces.py:start():190] Started cpu monitoring
2024-06-05 21:56:17,866 INFO    SystemMonitor:3628112 [interfaces.py:start():190] Started disk monitoring
2024-06-05 21:56:17,867 INFO    SystemMonitor:3628112 [interfaces.py:start():190] Started gpu monitoring
2024-06-05 21:56:17,869 INFO    SystemMonitor:3628112 [interfaces.py:start():190] Started memory monitoring
2024-06-05 21:56:17,870 INFO    SystemMonitor:3628112 [interfaces.py:start():190] Started network monitoring
2024-06-05 21:56:17,944 DEBUG   HandlerThread:3628112 [system_info.py:probe():150] Probing system
2024-06-05 21:56:17,946 DEBUG   HandlerThread:3628112 [system_info.py:_probe_git():135] Probing git
2024-06-05 21:56:17,952 DEBUG   HandlerThread:3628112 [system_info.py:_probe_git():143] Probing git done
2024-06-05 21:56:17,952 DEBUG   HandlerThread:3628112 [system_info.py:probe():198] Probing system done
